pending,pending
approved,approved
declined,declined
"You request for product %1 was accepted!","You request for product %1 was accepted!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Request status:","Request status:"
"No discount request","No discount request"
"Participate in the program","Participate in the program"
"Already requested!","Already requested!"
"Discount Request","Discount Request"
Name,Name
Email,Email
"Request a Discount","Request a Discount"
"Your Name","Your Name"
"Your Email","Your Email"
Success,Success
Error,Error
"Personal Discount","Personal Discount"
"General Settings","General Settings"
"Settings per store view are not available","Settings per store view are not available"
Enabled,Enabled
"Allow for Guests","Allow for Guests"
"Allow guests to submit discount requests","Allow guests to submit discount requests"
"Loyalty program for Regular Customers","Loyalty program for Regular Customers"
